CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,ENGRENAGEM,ESTATOR E SEM FIM,CAPACITOR,ROLAMENTO
2006079,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV4 220V SEM ACIONAMENTO,IZZY,NYLON 1 ENT COM IMÃ,P28 220V 1 ENT BV SEM MOLA,15UF,PLÁSTICO
2006080,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV3 220V SEM ACIONAMENTO,IZZY,NYLON 1 ENT COM IMÃ,P33 220V 1 ENT BV SEM MOLA,15UF,PLÁSTICO
2006081,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV4 SPEED 220V SEM ACIONAMENTO,IZZY,NYLON 2 ENT COM IMÃ,P28 220V 2 ENT BV COM MOLA,20UF,PLÁSTICO
2006082,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV3 SPEED 220V SEM ACIONAMENTO,IZZY,NYLON 2 ENT COM IMÃ,P33 220V 2 ENT BV COM MOLA,20UF,PLÁSTICO
2006085,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV HEAVY 220V SEM ACIONAMENTO,IZZY,NYLON 1 ENT COM IMÃ,P39 220V 1 ENT BV SEM MOLA,15UF,6004
2006086,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV HEAVY SPEED 220V SEM ACIONAMENTO,IZZY,NYLON 2 ENT COM IMÃ,P39 220V 2 ENT BV COM MOLA,20UF,6004
2006091,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV HEAVY SPEED 127V SEM ACIONAMENTO,IZZY,NYLON 2 ENT COM IMÃ,P39 127V 2 ENT BV COM MOLA,50UF,6004
2006092,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV HEAVY 127V SEM ACIONAMENTO,IZZY,NYLON 1 ENT COM IMÃ,P39 127V 1 ENT BV SEM MOLA,30UF,6004
2006093,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV3 SPEED 127V SEM ACIONAMENTO,IZZY,NYLON 2 ENT COM IMÃ,P33 127V 2 ENT BV COM MOLA,50UF,PLÁSTICO
2006094,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV3 127V SEM ACIONAMENTO,IZZY,NYLON 1 ENT COM IMÃ,P33 127V 1 ENT BV SEM MOLA,30UF,PLÁSTICO
2006095,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV4 SPEED 127V SEM ACIONAMENTO,IZZY,NYLON 2 ENT COM IMÃ,P28 127V 2 ENT BV COM MOLA,50UF,PLÁSTICO
2006096,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV4 127V SEM ACIONAMENTO,IZZY,NYLON 1 ENT COM IMÃ,P28 127V 1 ENT BV SEM MOLA,30UF,PLÁSTICO
2008026,CONJ. MOVIMENTADOR TRINO NEW BV4 127V SEM ACIONAMENTO,FLEX,NYLON 1 ENT SEM IMÃ,P28 127V 1 ENT BV SEM MOLA,30UF,PLÁSTICO
2008027,CONJ. MOVIMENTADOR TRINO NEW BV4 220V SEM ACIONAMENTO,FLEX,NYLON 1 ENT SEM IMÃ,P28 220V 1 ENT BV SEM MOLA,15UF,PLÁSTICO
2008028,CONJ. MOVIMENTADOR TRINO NEW BV3 127V SEM ACIONAMENTO,FLEX,NYLON 1 ENT SEM IMÃ,P33 127V 1 ENT BV SEM MOLA,30UF,PLÁSTICO
2008029,CONJ. MOVIMENTADOR TRINO NEW BV3 220V SEM ACIONAMENTO,FLEX,NYLON 1 ENT SEM IMÃ,P33 220V 1 ENT BV SEM MOLA,15UF,PLÁSTICO
2008030,CONJ. MOVIMENTADOR TRINO NEW BV4 SPEED 127V SEM ACIONAMENTO,FLEX,NYLON 2 ENT SEM IMÃ,P28 127V 2 ENT BV COM MOLA,50UF,PLÁSTICO
2008031,CONJ. MOVIMENTADOR TRINO NEW BV4 SPEED 220V SEM ACIONAMENTO,FLEX,NYLON 2 ENT SEM IMÃ,P28 220V 2 ENT BV COM MOLA,20UF,PLÁSTICO
2008032,CONJ. MOVIMENTADOR TRINO NEW BV3 SPEED 127V SEM ACIONAMENTO,FLEX,NYLON 2 ENT SEM IMÃ,P33 127V 2 ENT BV COM MOLA,50UF,PLÁSTICO
2008033,CONJ. MOVIMENTADOR TRINO NEW BV3 SPEED 220V SEM ACIONAMENTO,FLEX,NYLON 2 ENT SEM IMÃ,P33 220V 2 ENT BV COM MOLA,20UF,PLÁSTICO
2008034,CONJ. MOVIMENTADOR TRINO NEW BV LIGHT 127V SEM ACIONAMENTO,LIGHT,NYLON 1 ENT SEM IMÃ,P17 127V 1 ENT BV SEM MOLA,30UF,PLÁSTICO
2008035,CONJ. MOVIMENTADOR TRINO NEW BV LIGHT 220V SEM ACIONAMENTO,LIGHT,NYLON 1 ENT SEM IMÃ,P17 220V 1 ENT BV SEM MOLA,15UF,PLÁSTICO
2008036,CONJ. MOVIMENTADOR TRINO NEW BV LIGHT SPEED 127V SEM ACIONAMENTO,FLEX,NYLON 2 ENT SEM IMÃ,P17 127V 2 ENT BV COM MOLA,50UF,PLÁSTICO
2008037,CONJ. MOVIMENTADOR TRINO NEW BV LIGHT SPEED 220V SEM ACIONAMENTO,FLEX,NYLON 2 ENT SEM IMÃ,P17 220V 2 ENT BV COM MOLA,20UF,PLÁSTICO
2008039,CONJ. MOVIMENTADOR BV SPEED TURBO PRO 1/2HP FREQUENCY INVERTER BIVOLT SEM ACIONAMENTO,NEW INVERTER,NYLON 1 ENT COM IMÃ,P39 TRIFÁSICO 1 ENT BV SEM MOLA,NÃO USA,6004
2008041,CONJ. MOVIMENTADOR TRINO NEW BV HEAVY 127V SEM ACIONAMENTO,FLEX,NYLON 1 ENT SEM IMÃ,P39 127V 1 ENT BV SEM MOLA,30UF,6004
2008042,CONJ. MOVIMENTADOR TRINO NEW BV HEAVY 220V SEM ACIONAMENTO,FLEX,NYLON 1 ENT SEM IMÃ,P39 220V 1 ENT BV SEM MOLA,15UF,6004
2008043,CONJ. MOVIMENTADOR TRINO NEW BV HEAVY SPEED 127V SEM ACIONAMENTO,FLEX,NYLON 2 ENT SEM IMÃ,P39 127V 2 ENT BV COM MOLA,50UF,6004
2008044,CONJ. MOVIMENTADOR TRINO NEW BV HEAVY SPEED 220V SEM ACIONAMENTO,FLEX,NYLON 2 ENT SEM IMÃ,P39 220V 2 ENT BV COM MOLA,20UF,6004
2008045,CONJ. MOVIMENTADOR TRINO NEW BV3 220V SEM ACIONAMENTO - CONDOMINIAL 200,FLEX,NYLON 1 ENT SEM IMÃ,P33 220V 1 ENT BV SEM MOLA,15UF,PLÁSTICO
2008038,CONJ. MOVIMENTADOR TRINO NEW BV4 220V SEM ACIONAMENTO EX,FLEX,NYLON 1 ENT SEM IMÃ,P28 220V 1 ENT BV SEM MOLA,20UF,PLÁSTICO
2008047,CONJ. MOVIMENTADOR BV SPEED TURBO PRO 1/2HP FREQUENCY INVERTER BIVOLT SEM ACIONAMENTO EX,NEW INVERTER,NYLON 1 ENT COM IMÃ,P39 TRIFÁSICO 1 ENT BV SEM MOLA,NÃO USA,6004
2008048,CONJ. MOVIMENTADOR TRINO NEW BV HEAVY 220V SEM ACIONAMENTO EX,FLEX,NYLON 1 ENT SEM IMÃ,P39 220V 1 ENT BV SEM MOLA,20UF,6004
2008049,CONJ. MOVIMENTADOR TRINO NEW BV3 SPEED 220V SEM ACIONAMENTO PANTHER EX,FLEX,NYLON 2 ENT SEM IMÃ,P33 127V 2 ENT BV COM MOLA,50UF,PLÁSTICO
2008050,CONJ. MOVIMENTADOR TRINO NEW BV4 220V SEM ACIONAMENTO PANTHER EX,FLEX,NYLON 1 ENT SEM IMÃ,P28 220V 1 ENT BV SEM MOLA,20UF,PLÁSTICO
2008051,CONJ. MOVIMENTADOR TRINO NEW BV4 SPEED 220V SEM ACIONAMENTO PANTHER EX,FLEX,NYLON 2 ENT SEM IMÃ,P28 220V 2 ENT BV COM MOLA,20UF,PLÁSTICO
2008052,CONJ. MOVIMENTADOR TRINO NEW BV3 220V SEM ACIONAMENTO EX,FLEX,NYLON 1 ENT SEM IMÃ,P33 220V 1 ENT BV SEM MOLA,20UF,PLÁSTICO
2008053,"CONJ. MOVIMENTADOR TRINO NEW BV4 220V 1,40MTS COM ACIONAMENTO EX",FLEX,NYLON 1 ENT SEM IMÃ,P28 220V 1 ENT BV SEM MOLA,20UF,PLÁSTICO
2008054,"CONJ. MOVIMENTADOR TRINO NEW BV4 SPEED 220V 1,40MT COM ACIONAMENTO EX",FLEX,NYLON 2 ENT SEM IMÃ,P28 220V 2 ENT BV COM MOLA,20UF,PLÁSTICO
2008055,"CONJ. AUTOMATISMO LEV BV3 SPEED TRINO NEW 220V 1,40MT CON ACCIONAMIENTO EX",FLEX,NYLON 2 ENT SEM IMÃ,P33 220V 2 ENT BV COM MOLA,20UF,PLÁSTICO
2008062,CONJ. MOVIMENTADOR TRINO NEW BV LIGHT 220V SEM ACIONAMENTO EX,LIGHT,NYLON 1 ENT SEM IMÃ,P17 220V 1 ENT BV SEM MOLA,20UF,PLÁSTICO
2008063,CONJ. MOVIMENTADOR TRINO NEW BV3 SPEED 220V SEM ACIONAMENTO EX,FLEX,NYLON 2 ENT SEM IMÃ,P33 220V 2 ENT BV COM MOLA,20UF,PLÁSTICO
2008064,CONJ. MOVIMENTADOR TRINO NEW BV HEAVY SPEED 220V SEM ACIONAMENTO EX,FLEX,NYLON 2 ENT SEM IMÃ,P39 220V 2 ENT BV COM MOLA,20UF,6004
2008070,CONJ. MOVIMENTADOR TRINO NEW BV LIGHT SPEED 127V SEM ACIONAMENTO EX,FLEX,NYLON 1 ENT SEM IMÃ,P17 127V 2 ENT BV COM MOLA,20UF,PLÁSTICO
2008075,CONJ. MOVIMENTADOR TRINO NEW BV HEAVY 127V SEM ACIONAMENTO EX,FLEX,NYLON 1 ENT SEM IMÃ,P39 127V 1 ENT BV SEM MOLA,30UF,6004
2006088,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV3 220V SEM ACIONAMENTO EX,IZZY,NYLON 1 ENT COM IMÃ,P33 50HZ 220V 1 ENT BV SEM MOLA,15UF,PLÁSTICO
2014011,"CONJ. MOVIMENTADOR P/PLACA SOLAR 1/2 HP 220V MONOFÁ HASTE1200MM X3,0MM REFORÇADO",-,ZAMAC 1 ENT COM IMÃ,P39 220V 1 ENT BV SEM MOLA,-,6004
2002005,"CONJ. MOVIMENTADOR TRINO BV4 1,5M 127V",FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2002006,"CONJ. MOVIMENTADOR TRINO BV4 1,5M 220V",FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,15UF,
2008105,CONJ. MOVIMENTADOR INTELIGENTE - IZZY NEW BV SPEED TURBO PRO 1/2HP FREQUENCY INVERTER BIVOLT SEM ACI,NEW INVERTER,PRETA NEW INVERTER,P39 TRIFÁSIVO 1 ENT BV SEM MOLA,NÃO USA,AÇO
2002007,"CONJ. MOVIMENTADOR TRINO BV4 2,0M 127V",FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2002010,"CONJ. MOVIMENTADOR TRINO BV3 SPEED 1,5M 127V",FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2002011,"CONJ. MOVIMENTADOR TRINO BV3 SPEED 1,5M 220V",FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,15UF,
2008001,CONJ. MOVIMENTADOR TRINO BV3 127V SEM ACIONAMENTO,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,15UF,
2008003,CONJ. MOVIMENTADOR TRINO BV4 127V SEM ACIONAMENTO,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,15UF,
2008005,CONJ. MOVIMENTADOR TRINO BV3 SPEED 127V SEM ACIONAMENTO,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2008007,CONJ. MOVIMENTADOR TRINO BV4 SPEED 127V SEM ACIONAMENTO,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2008008,CONJ. MOVIMENTADOR TRINO BV4 SPEED 220V SEM ACIONAMENTO,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,15UF,
2008011,CONJ. MOVIMENTADOR TRINO BV3 127V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2008012,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,15UF,
2008013,CONJ. MOVIMENTADOR TRINO BV4 127V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2008014,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,15UF,
2008015,CONJ. MOVIMENTADOR TRINO BV3 SPEED 127V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2008016,CONJ. MOVIMENTADOR TRINO BV3 SPEED 220V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,15UF,
2008017,CONJ. MOVIMENTADOR TRINO BV4 SPEED 127V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2008018,CONJ. MOVIMENTADOR TRINO BV4 SPEED 220V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,15UF,
2008040,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO - CONDOMINIAL 100,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,15UF,
2008046,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO - CONDOMINIAL 200,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,15UF,
2008056,CONJ. MOVIMENTADOR TRINO BV3 127V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2008057,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,15UF,
2008107, MOVIMENTADOR TRINO NEW BV CADENA 1/2HP 127V SEM ACIONAMENTO TECLAM EX,FLEX,PRETABV,P39 127V 1 ENT BV SEM MOLA,30UF,
2008108,CONJ. MOVIMENTADOR TRINO NEW BV CADENA TURBO 1/2HP INVERTER BIVOLT SEM ACIONAMENTO TECLAM EX,NEW INVERTER,PRETA BV,P39 TRIFÁSICO 1 ENT BV SEM MOLA,NÃO USA,
2008058,CONJ. MOVIMENTADOR TRINO BV4 127V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2008059,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,15UF,
2008060,CONJ. MOVIMENTADOR TRINO BV4 127V SEM ACIONAMENTO BELPORTAS,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2008096,"CONJ. MOVIMENTADOR TRINO NEW BV4 220V 2,00MTS COM ACIONAMENTO EX",FLEX,NYLON 1 ENT SEM IMÃ,P28 220V 1 ENT BV SEM MOLA,20UF,PLÁSTICO
2008061,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO BELPORTAS,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,15UF,
2013003,CONJ. MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 1/3 127V SEM ACIONAMENTO,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF,
2008022,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO EX,FLEX,PRETA BV,P28 50HZ 220V COM SEM FIM BV 2 ENT,15UF,
2008025,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO EX,FLEX,PRETA BV,P33 50HZ 220V COM SEM FIM BV 2 ENT,15UF,
2013001,CONJ. MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 1/4 127V SEM ACIONAMENTO,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF,
2013002,CONJ. MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 1/4 220V SEM ACIONAMENTO,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,15UF,
2013004,CONJ. MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 1/3 220V SEM ACIONAMENTO,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,15UF,
2013005,CONJ. MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 1/3 220V SEM ACIONAMENTO EX,FLEX,PRETA BV,P33 50HZ 220V COM SEM FIM BV 2 ENT,15UF,
2008024,CONJ. MOVIMENTADOR TRINO BV3 SPEED 220V SEM ACIONAMENTO EX,FLEX,PRETA BV,P33 50HZ 220V COM SEM FIM BV 2 ENT,15UF,
2008101,CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/3HP 220V SEM ACIONAMENTO EX,FLEX - sem base,Eixo cadena NYLON 1 ENT COM IMÃ,P33 50HZ 220V COM SEM FIM 1 ENTRADA ,15UF,AÇO
2008090,CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V SEM ACIONAMENTO EX,FLEX - sem base,Eixo cadena NYLON 1 ENT COM IMÃ,P28 50HZ 220V COM SEM FIM 1 ENTRADA ,15UF,AÇO
2008102,CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/2HP 220V SEM ACIONAMENTO EX,FLEX - sem base,Eixo cadena NYLON 1 ENT COM IMÃ,P39 50HZ 220V COM SEM FIM 1 ENTRADA ,15UF,AÇO
2008091,CONJ. MOVIMENTADOR BV SPEED TURBO PRO LIGHT 1/5HP FREQUENCY INVERTER BIVOLT SEM ACIONAMENTO,NEW INVERTER,NYLON 1 ENT COM IMÃ,P17 60HZ 110V 3F SEM FIM 1 ENTRADA,NÃO USA,PLASTICO
2008083,CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V SEM ACIONAMENTO,FLEX - sem base,Eixo cadena NYLON 1 ENT COM IMÃ,P28 60HZ 220V COM SEM FIM 1 ENT,15 UF,AÇO
2008085,CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/3HP 220V SEM ACIONAMENTO,FLEX - sem base,Eixo cadena NYLON 1 ENT COM IMÃ,P33 60HZ 220V COM SEM FIM 1 ENT,15 UF,AÇO
2008086,CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/2HP 220V SEM ACIONAMENTO,FLEX - sem base,Eixo cadena NYLON 1 ENT COM IMÃ,P39 60HZ 220V COM SEM FIM 1 ENT,15 UF,AÇO
2008084,CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/3HP 127V SEM ACIONAMENTO,FLEX - sem base,Eixo cadena NYLON 1 ENT COM IMÃ,P33 60HZ 127V COM SEM FIM 1 ENT,30UF,AÇO
2008088,CONJ. MOVIMENTADOR TRINO NEW BV CADENA TURBO 1/2HP INVERTER BIVOLT SEM ACIONAMENTO,NEW INVERTER - sem base,Eixo cadena NYLON 1 ENT COM IMÃ,P39 60HZ TRIF. 110V COM SEM FIM 1 ENT,NÃO USA,AÇO
2008087,CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/2HP 127V SEM ACIONAMENTO,FLEX - sem base,Eixo cadena NYLON 1 ENT COM IMÃ,P39 60HZ 127V COM SEM FIM 1 ENT,30UF,AÇO
2008082,CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO,FLEX - sem base,Eixo cadena NYLON 1 ENT COM IMÃ,P28 60HZ 127V COM SEM FIM 1 ENT,30UF,AÇO
2008086,CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/2HP 220V SEM ACIONAMENTO,FLEX - sem base,Eixo cadena NYLON 1 ENT COM IMÃ,P39 60HZ 220V COM SEM FIM 1 ENT,15 UF,AÇO
2008105,CONJ. MOVIMENTADOR INTELIGENTE - IZZY NEW BV SPEED TURBO PRO 1/2HP FREQUENCY INVERTER BIVOLT SEM ACI,NEW INVERTER,NYLON 1 ENT COM IMÃ,P39 TRIFÁSIVO 1 ENT BV SEM MOLA,NÃO USA,AÇO
20080107,CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/2HP 127V SEM ACIONAMENTO TECLAM EX,,Eixo cadena NYLON 1 ENT COM IMÃ,,,
2008077,CONJ. MOVIMENTADOR NEW BV SPEED TURBO PRO 1/2HP FREQUENCY INVERTER BIVOLT S/ ACIONAMENTO S/ CENTRAL,NÃO TEM,NYLON 1 ENT SEM IMÃ BRANCA,P39 TRIFÁSIVO 1 ENT BV SEM MOLA,NÃO USA,AÇO
2006103,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV HEAVY 127V SEM ACIONAMENTO EX,IZZY,NYLON 1 ENT COM IMÃ ,P39 127V BV SEM MOLA,30 UF,AÇO
